Carla Interface.agents.Ego Vehicle_1.accelerations;Carla Interface.agents.Ego Vehicle_1.applied_input;Carla Interface.agents.Ego Vehicle_1.cruise_control_speed
[0.0, 0.0, 0.0];[0.0, 0.0, 0.0, 0.0, 0.0];0.0
[0.0, 0.0, 0.0];[0.0, 0.0, 0.0, 0.0, 0.0];1.388.888.931.274.410
[0.0, 0.0, 0.0];[0.0, 0.0, 0.0, 0.0, 0.0];1.388.888.931.274.410
[0.0, 0.0, 0.0];[0.0, 0.0, 0.0, 0.0, 0.0];1.388.888.931.274.410
[0.0, 0.0, 0.0];[0.0, 0.0, 0.0, 0.0, 0.0];1.388.888.931.274.410
[0.0, 0.0, 0.0];[0.0, 0.0, 0.0, 0.0, 0.0];1.388.888.931.274.410
[0.0, 0.0, 0.0];[0.0, 0.0, 0.0, 0.0, 0.0];1.388.888.931.274.410
[-5.686656368197873e-05, 3.28523492498789e-05, 0.0005382568342611194];[0.0008703297353349626, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-5.686656368197873e-05, 3.28523492498789e-05, 0.0005382568342611194];[0.0008703297353349626, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-5.686656368197873e-05, 3.28523492498789e-05, 0.0005382568342611194];[0.0008703297353349626, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-5.686656368197873e-05, 3.28523492498789e-05, 0.0005382568342611194];[0.0008703297353349626, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-5.686656368197873e-05, 3.28523492498789e-05, 0.0005382568342611194];[0.0008703297353349626, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-5.686656368197873e-05, 3.28523492498789e-05, 0.0005382568342611194];[0.0008703297353349626, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-5.686656368197873e-05, 3.28523492498789e-05, 0.0005382568342611194];[0.0008703297353349626, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-5.686656368197873e-05, 3.28523492498789e-05, 0.0005382568342611194];[0.0008703297353349626, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
